Item,Description,BOMLevel,SourceType,UOM,WeeklyUsage,OnHand,SafetyStock,LeadTime,LotSizeRule,LotSizeValue,UnitCost,OrderingCost,HoldingCostRate,Supplier,ScrapPct
BIKE-MTB,"Mountain Bike 26 inch, 21 speed",0,M,EA,177.7,530,210,1,LFL,0,210.0,180,0.22,-,0.01
BIKE-ROAD,"Road Bike 700C, 14 speed",0,M,EA,121.2,390,160,1,LFL,0,265.0,180,0.22,-,0.01
BIKE-KIDS,"Kids Bike 20 inch, single speed",0,M,EA,156.2,550,220,1,FOQ,310,95.0,180,0.22,-,0.01
FRAME-MTB,"Frame assembly, MTB, painted",1,M,EA,179.5,610,270,2,LFL,0,62.0,180,0.22,-,0.02
FRAME-ROAD,"Frame assembly, Road, painted",1,M,EA,122.4,180,170,2,LFL,0,78.0,180,0.22,-,0.02
FRAME-KIDS,"Frame assembly, Kids, painted",1,M,EA,157.8,600,250,2,FOQ,320,28.0,180,0.22,-,0.02
WHEEL-26,Wheel assembly 26 inch,1,M,EA,358.9,1150,470,1,LFL,0,24.0,180,0.22,-,0.015
WHEEL-700C,Wheel assembly 700C,1,M,EA,244.8,730,320,1,LFL,0,29.0,180,0.22,-,0.015
WHEEL-20,Wheel assembly 20 inch,1,M,EA,315.7,1150,470,1,FOQ,630,14.0,180,0.22,-,0.015
DRIVE-21S,Drivetrain 21 speed,1,M,EA,179.5,560,230,1,LFL,0,41.0,180,0.22,-,0.01
DRIVE-14S,Drivetrain 14 speed,1,M,EA,122.4,400,170,1,LFL,0,47.0,180,0.22,-,0.01
DRIVE-SS,Drivetrain single speed,1,M,EA,157.8,580,240,1,EOQ,0,16.0,180,0.22,-,0.01
BRAKE-DISC,Disc brake set (F+R),1,P,EA,179.5,750,360,3,FOQ,450,22.0,250,0.22,SUP-01,0.0
BRAKE-RIM,Rim brake set (F+R),1,P,EA,280.2,1100,500,2,FOQ,700,9.5,250,0.22,SUP-01,0.0
SADDLE-ASSY,Saddle with seatpost,1,P,EA,459.7,1850,830,2,EOQ,0,7.8,250,0.22,SUP-02,0.0
TUBESET-MTB,"Cut & mitered tube set, MTB",2,M,EA,183.1,550,220,1,LFL,0,23.0,180,0.22,-,0.03
TUBESET-ROAD,"Cut & mitered tube set, Road",2,M,EA,124.9,360,150,1,LFL,0,31.0,180,0.22,-,0.03
TUBESET-KIDS,"Cut & mitered tube set, Kids",2,M,EA,161.0,550,230,1,FOQ,320,9.0,180,0.22,-,0.03
RIM-26,Alloy rim 26 inch,2,P,EA,362.5,1600,800,3,FOQ,910,6.2,250,0.22,SUP-03,0.0
RIM-700C,Alloy rim 700C,2,P,EA,247.3,1000,520,3,FOQ,620,7.4,250,0.22,SUP-03,0.0
RIM-20,Steel rim 20 inch,2,P,EA,318.8,1300,610,2,FOQ,800,3.1,250,0.22,SUP-03,0.0
HUB-STD,Standard hub (shared),2,P,EA,928.6,4650,2400,4,EOQ,0,4.5,250,0.22,SUP-04,0.0
SPOKE,Stainless spoke (shared),2,P,EA,29027.7,130500,58000,2,FOQ,87000,0.09,250,0.22,SUP-04,0.0
TYRE-26,Tyre 26x2.10,2,P,EA,362.5,1900,940,4,FOQ,910,5.6,250,0.22,SUP-05,0.0
TYRE-700C,Tyre 700x25C,2,P,EA,247.3,450,590,4,FOQ,620,6.9,250,0.22,SUP-05,0.0
TYRE-20,Tyre 20x1.75,2,P,EA,318.8,1350,640,3,FOQ,800,3.4,250,0.22,SUP-05,0.0
CHAIN,Chain (shared),2,P,EA,464.3,1850,840,2,EOQ,0,4.1,250,0.22,SUP-02,0.0
CRANKSET,Crankset (shared),2,P,EA,464.3,2050,980,3,FOQ,1150,9.8,250,0.22,SUP-02,0.0
DERAILLEUR,Rear derailleur (shared),2,P,EA,304.9,610,850,5,FOQ,910,12.5,250,0.22,SUP-06,0.0
ALU-TUBE-STK,Aluminium tube stock (metre),3,P,M,1429.4,7150,3700,4,FOQ,4300,1.8,250,0.22,SUP-07,0.0
STL-TUBE-STK,Steel tube stock (metre),3,P,M,582.5,2700,1300,3,FOQ,1750,0.95,250,0.22,SUP-07,0.0
PAINT-PWD,Powder coat paint (kg),3,P,M,146.3,610,290,2,EOQ,0,6.4,250,0.22,SUP-08,0.0
